accuracy,precision,recall,f1,roc_auc,rmse,log_loss,model,basin,split
0.65,0.4,0.3333333333333333,0.36363636363636365,0.4642857142857143,0.49021669679331836,0.6879775097619352,Logistic Regression,Congo,test
0.9743589743589743,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9947089947089947,0.3008494089899427,0.3401357642627951,Random Forest,Congo,train
0.7,0.5,0.16666666666666666,0.25,0.4642857142857143,0.4791064801962291,0.6606691955360907,Random Forest,Congo,test
1.0,1.0,1.0,1.0,1.0,0.0792384763834596,0.0652336993397749,Gradient Boosting,Congo,train
0.5,0.0,0.0,0.0,0.3095238095238095,0.5659053298755031,0.9597825920520192,Gradient Boosting,Congo,test
0.7948717948717948,0.34782608695652173,0.8888888888888888,0.5,0.859903381642512,0.39908645900453826,0.4772145253163953,Logistic Regression,Amazon Basin,train
0.65,0.14285714285714285,0.5,0.2222222222222222,0.6666666666666666,0.5017355873672878,0.7179013561841298,Logistic Regression,Amazon Basin,test
0.9743589743589743,1.0,0.7777777777777778,0.875,1.0,0.2621000919461925,0.2799973682585594,Random Forest,Amazon Basin,train
0.85,0.0,0.0,0.0,0.7222222222222223,0.34502851291518505,0.40028621442307183,Random Forest,Amazon Basin,test
1.0,1.0,1.0,1.0,1.0,0.04850431203998886,0.0343668259997989,Gradient Boosting,Amazon Basin,train
0.8,0.0,0.0,0.0,0.5,0.39842757393163325,0.5502347906717039,Gradient Boosting,Amazon Basin,test
0.6410256410256411,0.3783783783783784,0.7368421052631579,0.5,0.7564674397859054,0.45445070733522747,0.5969873128995479,Logistic Regression,Murray,train
0.4,0.16666666666666666,0.5,0.25,0.375,0.5480825723714884,0.797979093148041,Logistic Regression,Murray,test
0.9487179487179487,0.8947368421052632,0.8947368421052632,0.8947368421052632,0.9928635147190009,0.3126253167478738,0.35888683049791315,Random Forest,Murray,train
0.8,0.5,0.5,0.5,0.78125,0.4192137171717471,0.5385456558295167,Random Forest,Murray,test
1.0,1.0,1.0,1.0,1.0,0.08473244700828426,0.06973411480297138,Gradient Boosting,Murray,train
0.7,0.3333333333333333,0.5,0.4,0.59375,0.4797220099486327,0.7334328483477545,Gradient Boosting,Murray,test
