accuracy,precision,recall,f1,roc_auc,rmse,log_loss,model,basin,split
0.9523809523809523,0.7818181818181819,1.0,0.8775510204081632,0.9969956603983532,0.20766732092108534,0.18338170822970734,Gradient Boosting,Ganges / Bhramaputra Basin,train
0.75,0.3333333333333333,0.23076923076923078,0.2727272727272727,0.6877828054298644,0.41078112670194605,0.5258552857723349,Gradient Boosting,Ganges / Bhramaputra Basin,test
0.626984126984127,0.24752475247524752,0.5813953488372093,0.3472222222222222,0.6822076332480249,0.4751894142552251,0.6420154021014934,Logistic Regression,Congo,train
0.484375,0.3235294117647059,0.5238095238095238,0.4,0.5049833887043189,0.5306023760466115,0.7640749431807254,Logistic Regression,Congo,test
0.9444444444444444,0.7959183673469388,0.9069767441860465,0.8478260869565217,0.9798597974852564,0.33114511043419864,0.38644023307718145,Random Forest,Congo,train
0.671875,0.5,0.19047619047619047,0.27586206896551724,0.7176079734219268,0.44691677205612496,0.581621144155915,Random Forest,Congo,test
0.9484126984126984,0.7678571428571429,1.0,0.8686868686868687,0.9974407477467453,0.23576288102249912,0.22718390978525485,Gradient Boosting,Congo,train
0.71875,0.6,0.42857142857142855,0.5,0.7342192691029901,0.43959232057778397,0.5627140584830503,Gradient Boosting,Congo,test
0.7063492063492064,0.21951219512195122,0.6428571428571429,0.32727272727272727,0.7614795918367346,0.45142743701176963,0.6002708604668918,Logistic Regression,Amazon Basin,train
0.625,0.13043478260869565,0.42857142857142855,0.2,0.543859649122807,0.48761561961953037,0.6717115275579439,Logistic Regression,Amazon Basin,test
0.9722222222222222,0.8620689655172413,0.8928571428571429,0.8771929824561403,0.9934630102040816,0.2764534364606694,0.30541131270507565,Random Forest,Amazon Basin,train
0.859375,0.0,0.0,0.0,0.6791979949874687,0.3548524598633397,0.41692891820149425,Random Forest,Amazon Basin,test
0.9722222222222222,0.8,1.0,0.8888888888888888,0.9995216836734694,0.16704452035909448,0.13516172173111535,Gradient Boosting,Amazon Basin,train
0.875,0.3333333333333333,0.14285714285714285,0.2,0.5914786967418546,0.3323641067639619,0.3717968501915788,Gradient Boosting,Amazon Basin,test
0.6071428571428571,0.31092436974789917,0.6851851851851852,0.4277456647398844,0.682566404788627,0.4769705078065724,0.6456693650880987,Logistic Regression,Murray,train
0.359375,0.2708333333333333,0.6842105263157895,0.3880597014925373,0.4573099415204678,0.5657884078463671,0.8468416129959503,Logistic Regression,Murray,test
0.9523809523809523,0.828125,0.9814814814814815,0.8983050847457628,0.9837261503928171,0.3385904759954693,0.3927013819277028,Random Forest,Murray,train
0.5625,0.3333333333333333,0.47368421052631576,0.391304347826087,0.623391812865497,0.4647987269930465,0.6149370450575522,Random Forest,Murray,test
0.9444444444444444,0.7941176470588235,1.0,0.8852459016393442,0.9937336326225215,0.24012458478702645,0.2324438894415725,Gradient Boosting,Murray,train
0.578125,0.34615384615384615,0.47368421052631576,0.4,0.6701754385964912,0.49147868472657874,0.6936677768892832,Gradient Boosting,Murray,test
