accuracy,precision,recall,f1,roc_auc,rmse,log_loss,model,basin,split
0.95,0.0,0.0,0.0,0.9473684210526316,0.29851893990695516,0.3426462998894474,Random Forest,Danube,test
1.0,1.0,1.0,1.0,1.0,0.08642721964304183,0.0729803714976115,Gradient Boosting,Danube,train
1.0,1.0,1.0,1.0,1.0,0.18033794841485415,0.15446578704039293,Gradient Boosting,Danube,test
0.8076923076923077,0.5862068965517241,0.85,0.6938775510204082,0.881896551724138,0.3810550025228461,0.45322289889420986,Logistic Regression,Ganges / Bhramaputra Basin,train
0.65,0.4,0.3333333333333333,0.36363636363636365,0.6190476190476191,0.46022374862991094,0.7658140468407344,Logistic Regression,Ganges / Bhramaputra Basin,test
0.9871794871794872,0.9523809523809523,1.0,0.975609756097561,0.9982758620689655,0.3021065419113055,0.34315437784240704,Random Forest,Ganges / Bhramaputra Basin,train
0.7,0.5,0.16666666666666666,0.25,0.6666666666666667,0.4256121976595553,0.5449267971257722,Random Forest,Ganges / Bhramaputra Basin,test
1.0,1.0,1.0,1.0,1.0,0.07843048095406809,0.05818567472465142,Gradient Boosting,Ganges / Bhramaputra Basin,train
0.75,0.6,0.5,0.5454545454545454,0.6904761904761905,0.4616470595768854,0.8170505750223216,Gradient Boosting,Ganges / Bhramaputra Basin,test
0.717948717948718,0.375,0.8571428571428571,0.5217391304347826,0.8493303571428571,0.40837641015253073,0.4900869463618328,Logistic Regression,Mekong Basin,train
0.65,0.2857142857142857,0.5,0.36363636363636365,0.609375,0.4951730754089458,0.6943769319427584,Logistic Regression,Mekong Basin,test
0.9230769230769231,0.7222222222222222,0.9285714285714286,0.8125,0.9754464285714286,0.30714623756165643,0.33125358636346264,Random Forest,Mekong Basin,train
0.85,1.0,0.25,0.4,0.8125,0.374611283266127,0.43664227599467226,Random Forest,Mekong Basin,test
1.0,1.0,1.0,1.0,1.0,0.06812414499498969,0.05171374905937521,Gradient Boosting,Mekong Basin,train
0.85,1.0,0.25,0.4,0.78125,0.3508356943655138,0.43247294787839563,Gradient Boosting,Mekong Basin,test
0.717948717948718,0.41379310344827586,0.7058823529411765,0.5217391304347826,0.798457087753134,0.43051415698919515,0.5480204750509382,Logistic Regression,Mississippi / Missouri,train
0.6,0.2,0.2,0.2,0.5733333333333334,0.47533687182373796,0.642202057413274,Logistic Regression,Mississippi / Missouri,test
0.9487179487179487,0.8421052631578947,0.9411764705882353,0.8888888888888888,0.991321118611379,0.3122707218796345,0.355679020550727,Random Forest,Mississippi / Missouri,train
0.75,0.0,0.0,0.0,0.4666666666666667,0.4526608855039416,0.5935937170031093,Random Forest,Mississippi / Missouri,test
1.0,1.0,1.0,1.0,1.0,0.07865696997675488,0.06562963411986465,Gradient Boosting,Mississippi / Missouri,train
0.65,0.0,0.0,0.0,0.5733333333333334,0.4771899839132499,0.6976603386322565,Gradient Boosting,Mississippi / Missouri,test
0.717948717948718,0.3870967741935484,0.8,0.5217391304347826,0.8222222222222223,0.42465102432789226,0.5338218143445347,Logistic Regression,Murray,train
0.65,0.125,1.0,0.2222222222222222,0.8421052631578947,0.4798410314073176,0.6511622547685256,Logistic Regression,Murray,test
0.9871794871794872,1.0,0.9333333333333333,0.9655172413793104,0.998941798941799,0.2909870842574306,0.3252969912462311,Random Forest,Murray,train
0.95,0.0,0.0,0.0,0.9473684210526316,0.31023050994076945,0.3602257735039856,Random Forest,Murray,test
1.0,1.0,1.0,1.0,1.0,0.054532002929492576,0.041487128978843935,Gradient Boosting,Murray,train
0.8,0.0,0.0,0.0,0.7894736842105263,0.3377366920638943,0.3398910436378015,Gradient Boosting,Murray,test
0.7435897435897436,0.41935483870967744,0.8666666666666667,0.5652173913043478,0.8613756613756614,0.41731843621412207,0.5096320637815293,Logistic Regression,Nile,train
0.35,0.1,0.2,0.13333333333333333,0.2666666666666666,0.6300855228611807,1.0854191729424223,Logistic Regression,Nile,test
