time,Danube,Mississippi / Missouri,Colorado,California,Yangtze Basin,Mekong Basin,Nile,Ganges / Bhramaputra Basin,Congo,Amazon Basin,Murray
2006-02-01,2.1340828,-21.474537,-21.154675,-26.926506,18.804935,7.203869,1.1714754,-4.7036133,17.042267,14.647949,-17.074635
2006-03-01,33.63192,3.3791962,14.561577,67.18507,-19.048256,10.567333,6.629627,-2.660637,7.6145935,0.8172302,-25.609386
2006-04-01,25.257824,-1.3914795,-6.9328327,66.08235,-3.8698502,25.40483,-4.0568085,1.1119003,-0.3235016,13.933838,-7.292574
2006-05-01,1.489563,-35.20986,-11.334076,-3.992817,-2.8592834,-10.552734,10.658516,27.386765,7.058258,2.5953674,-24.901861
2006-06-01,14.560043,-30.109886,-2.7963371,-2.5521345,-33.53862,-35.059418,-2.7468033,-18.3647,-2.5385284,-1.3432007,-2.8853073
2006-07-01,-37.00513,-19.786499,17.43227,-0.45705462,-28.297852,46.556793,3.6354294,-39.029938,2.8740997,1.2171326,10.832439
2006-08-01,69.05818,14.339989,9.649281,-3.3721492,-57.5093,47.605774,-3.8420181,-66.37016,-2.1300583,-3.9704514,-25.23203
2006-09-01,-40.62176,18.170448,9.476223,-5.8560996,-9.209908,-52.649292,10.253319,-13.576691,-5.8739395,6.25412,-16.955252
2006-10-01,-30.232841,9.108643,29.581533,-18.945898,-3.990902,32.099854,2.0388603,-37.04625,1.2245331,11.914505,-38.82304
2006-11-01,-26.075993,-4.8337097,-10.710391,0.8320503,8.240253,-36.504078,12.388412,2.079795,7.2819214,18.504684,-30.72026
2006-12-01,-34.402428,19.917969,-10.044567,-13.704636,-7.171977,-10.767214,16.004234,-0.48534775,15.478882,5.5536194,-25.015081
2007-01-01,7.2484436,10.781574,-7.1917515,-72.24934,-2.344181,-6.377924,2.5218,-10.802454,-1.9046097,-6.2652893,-4.5911064
2007-02-01,9.455391,-7.549423,-8.567404,15.357933,6.670849,-1.1972485,6.214141,37.889153,2.3921509,-46.92923,-11.63895
2007-03-01,10.658363,4.840706,-7.0806694,-53.80483,-12.927708,-1.4463463,-8.338308,-4.1023064,-3.0218353,6.116699,-12.154667
2007-04-01,-46.984184,-3.3495636,-3.6613827,-7.14106,-12.565598,4.980522,-1.382927,4.451664,6.60231,5.3983,-4.5835857
2007-05-01,12.214539,2.1282272,1.5222988,-14.300742,-29.921036,36.820557,-7.0182114,-14.484467,-1.8609543,-0.70092773,13.9619255
2007-06-01,-21.562233,-1.5879593,-7.1320343,-3.5951667,-32.225418,-32.833008,31.793823,-2.4186554,7.0353775,-8.83387,4.81625
2007-07-01,-25.857079,-8.425293,9.785934,2.4982362,25.816498,-24.841614,32.72164,73.58853,3.1716537,-2.2831116,-13.805307
2007-08-01,25.109001,8.737923,4.5722923,-2.1570363,2.1477203,9.906799,23.779755,-17.466309,7.834366,4.0105133,-10.507137
2007-09-01,33.51004,-5.341202,5.987755,5.3949327,-15.444725,-20.840866,0.78861237,40.607147,4.146057,-4.1061172,-26.392948
2007-10-01,21.938797,16.115402,-13.579655,10.626493,-25.726196,68.3882,-18.630234,-10.972973,3.2770386,23.09465,-10.650745
2007-11-01,21.760513,-24.839453,-10.504677,-36.259323,-24.990665,1.9058762,-5.1266994,10.958134,8.205124,28.198135,20.589134
2007-12-01,-10.540371,19.788841,33.626953,-17.183083,1.3940296,-13.203734,-7.1329794,-3.079655,1.6266174,23.705551,44.685448
2008-01-01,-20.135693,-13.629971,19.284739,80.42382,6.7217674,8.943811,4.224904,7.0575695,14.48011,53.76985,25.262627
2008-02-01,-36.248108,13.179581,4.634985,-28.508606,-12.081472,4.004986,0.0068101883,-11.181471,-4.393738,22.905518,9.459637
2008-03-01,22.39016,15.240303,-16.189026,-55.444588,-2.2476768,15.62812,3.364273,4.346279,8.710602,20.72461,-29.951067
2008-04-01,19.892757,5.747635,-12.364613,-31.536682,-19.81237,19.649414,7.579067,-13.722836,-0.9176483,-12.091888,-19.751423
2008-05-01,-22.532364,16.333435,6.596678,-9.218743,-22.075073,31.559464,-4.220299,-13.791992,1.8030548,5.0074615,-18.80064
2008-06-01,0.80075836,16.57154,-2.6879902,-6.320388,-27.162247,3.3124542,17.149841,83.612656,-6.784485,-10.885757,0.3151512
2008-07-01,29.494461,-1.1971359,2.8716927,-0.48751116,-0.9194031,-29.180298,-5.431801,21.628754,12.638016,-7.554016,0.70697784
2008-08-01,-22.539173,-2.175377,1.6024208,-2.2007189,25.428543,-12.215088,-11.715462,27.935303,-6.4304123,-2.181099,-1.7107048
2008-09-01,-4.6523514,22.67456,-10.446339,-6.827384,-19.440933,14.305328,-0.0077438354,-23.480621,-3.651291,7.9982758,-0.90111923
2008-10-01,-9.451317,2.8086777,-13.830567,-12.546629,17.290031,19.860687,0.49586105,-12.091156,-6.6512756,15.495392,-17.726646
2008-11-01,-12.874531,-10.329323,2.6536846,-0.026561737,14.741337,18.682121,-4.2616634,-4.9598565,-1.7430115,9.571655,21.902557
2008-12-01,21.156898,16.103554,17.958828,-23.199295,-13.918684,-2.2088985,-9.384701,-4.6718025,-13.844986,20.528671,7.6416473
2009-01-01,4.09523,-12.723103,-8.044308,-61.32115,-17.687191,-10.583959,3.0167494,-7.534919,4.3413773,22.567276,-24.651365
2009-02-01,13.173729,-12.357674,-5.9556293,21.828316,0.44340897,-6.1365805,1.1441574,-8.542735,18.101608,34.266144,-1.3803596
2009-03-01,22.226791,7.202858,-13.93366,-17.924534,-6.4066772,7.847576,-6.1833115,-13.130037,-4.964218,31.747833,-27.971773
2009-04-01,-31.791374,9.091286,2.3168488,-25.203207,2.880928,26.765862,11.292511,-22.006142,-0.20643616,29.737503,9.074127
2009-05-01,-21.448723,-5.8915405,10.184414,7.9315453,-19.342735,25.143967,-23.664207,-14.66375,4.1744003,8.06958,4.942543
2009-06-01,35.195892,-1.3945541,15.474911,9.169129,-25.59233,-36.490356,-23.973907,-86.58312,3.7183838,26.781067,8.438702
2009-07-01,-6.876198,19.749046,-14.362814,-3.0364287,-7.845642,11.233002,-6.7224503,-45.812164,-0.3440628,0.9502716,-12.681911
2009-08-01,-11.018677,9.722572,-23.405577,-2.4572465,-14.536301,-63.115295,-14.027184,20.246857,4.3737183,2.697937,-18.497274
2009-09-01,-37.58274,7.5007477,-8.93894,-5.2243524,-32.427887,36.40927,-16.045128,-37.199066,-12.710274,-12.157143,-4.121187
2009-10-01,25.278,79.90059,-12.983572,19.355398,-24.95673,-49.930702,-7.357868,21.99031,4.71315,-9.607056,-12.087124
2009-11-01,8.106789,-24.851927,-11.061883,-31.816542,4.077282,-22.18306,-7.0744743,8.964611,12.744812,-30.762848,-22.497536
2009-12-01,38.454803,17.884933,5.065134,-23.473053,3.6000805,-12.55135,7.392256,-2.4818144,4.8568726,24.80606,31.863174
2010-01-01,14.277557,-1.9720955,36.344444,65.35291,-6.2060738,11.362375,-0.022083282,-10.013643,-3.3171768,1.6855164,-8.492527
