system:index,ET_mm,month,year,.geo
124,55.980113471808224,5,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
125,92.33509992426863,6,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
126,110.70822810413115,7,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
127,101.21949780544429,8,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
128,72.95130894565288,9,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
129,48.105820275740705,10,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
130,25.38069234989097,11,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
131,26.565609232745736,12,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
132,31.435203888848672,1,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
133,38.40153067953045,2,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
134,46.07550846871126,3,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
135,43.99331361265861,4,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
136,79.2538178694764,5,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
137,100.88564226441409,6,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
138,111.03384058296211,7,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
139,94.40438578180176,8,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
140,75.71024889546068,9,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
141,36.588603663367635,10,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
142,35.367760216834476,11,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
143,23.929052487796298,12,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
144,28.885942414458707,1,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
145,37.596224282628114,2,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
146,47.387515090684616,3,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
147,49.313647317499324,4,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
148,74.84081431717941,5,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
149,91.26125358090735,6,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
150,109.92266666022356,7,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
151,96.0829496820815,8,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
