system:index,ET_mm,month,year,.geo
132,69.87915639739111,1,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
133,69.94442182238609,2,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
134,75.94060492687882,3,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
135,64.2346338209903,4,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
136,96.78469727298219,5,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
137,105.6910823750977,6,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
138,104.38432013030818,7,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
139,105.0034351325569,8,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
140,107.4719255576153,9,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
141,82.14973208489106,10,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
142,92.62587514717977,11,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
143,64.7658538317376,12,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
144,67.1523143074486,1,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
145,72.2154212750669,2,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
146,75.61809437176677,3,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
147,63.50921489848585,4,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
148,97.86193814176613,5,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
149,102.19914189724126,6,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
150,102.36394275394744,7,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
151,103.04751058097577,8,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
152,106.81684048489097,9,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
153,81.83452693212328,10,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
154,98.02633790380655,11,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
155,69.47539309195571,12,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
156,64.82391736239086,1,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
157,69.75295823525535,2,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
158,74.43836254479399,3,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
159,63.46915838236067,4,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
160,95.3420397044381,5,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
161,104.96706779988565,6,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
162,98.84981197484058,7,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
163,105.95995979355173,8,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
164,109.35932131364098,9,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
165,83.0699432245327,10,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
166,100.69036269258876,11,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
167,71.20425469891646,12,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
168,70.06615496291731,1,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
169,66.62076116379998,2,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
170,69.3584009152905,3,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
171,74.8435372601291,4,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
172,69.8544523882751,5,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
173,104.82026843100734,6,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
174,109.14205323204197,7,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
175,112.17199968705948,8,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
176,107.94228726948343,9,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
177,105.33675365155152,10,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
178,73.19821881078893,11,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
179,77.85731786609426,12,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
180,79.4689689431722,1,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
181,76.12468334045671,2,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
182,86.75468166525184,3,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
183,75.21644567924665,4,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
184,103.13676351128044,5,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
185,106.91885509710812,6,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
186,103.61989876652648,7,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
187,105.74014332540922,8,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
188,104.55779240538422,9,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
189,80.96035316164722,10,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
190,91.30428102971948,11,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
191,71.09229188152416,12,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
192,74.56390384367597,1,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
193,74.56188730911792,2,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
194,80.75559105428617,3,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
195,68.48889380622374,4,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
196,99.56810204246338,5,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
197,108.19690889731997,6,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
198,105.8531863917923,7,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
199,107.56681927189541,8,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
200,112.78880219713233,9,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
201,79.22769363835137,10,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
202,93.1808063133238,11,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
203,69.29848315892619,12,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
204,68.26796751097348,1,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
205,72.58927109915861,2,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
206,75.55431591465629,3,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
207,67.07351682095062,4,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
208,93.76972427821049,5,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
209,105.36866376787312,6,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
210,107.4236518146592,7,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
211,107.39708543897974,8,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
212,116.0963934781367,9,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
213,84.30840024735522,10,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
214,93.57881808630431,11,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
215,64.02611594836118,12,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
216,65.10607959512788,1,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
217,65.0677411268708,2,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
218,70.42748750589682,3,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
219,83.20036241014104,4,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
220,72.97249060582305,5,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
221,103.23807961505975,6,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
222,109.05633344285421,7,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
223,107.61579563388987,8,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
224,101.46954389163594,9,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
225,97.28033564597432,10,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
226,72.88170811111773,11,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
227,74.2244621527871,12,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
228,66.33251625583358,1,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
229,69.58827055963692,2,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
230,73.41500090722154,3,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
231,64.18366128830597,4,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
232,101.87520583913295,5,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
233,108.31626622729709,6,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
234,109.48845035417966,7,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
235,107.27879194095519,8,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
236,105.82638671018783,9,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
237,74.83632950029104,10,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
238,94.22127461964371,11,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
239,73.31000621573087,12,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
240,72.77988419124404,1,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
241,79.34435079283625,2,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
242,88.24887400180324,3,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
243,75.94253387821585,4,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
244,105.1056965720249,5,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
245,105.05661259273063,6,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
246,108.01306756407892,7,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
247,105.27899882897958,8,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
248,102.35018498487109,9,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
249,78.54675650750994,10,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
250,93.18158747743203,11,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
251,69.72521029202574,12,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
252,70.55911824114584,1,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
253,74.11913768354336,2,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
254,73.89920500765113,3,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
255,58.87403517815716,4,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
256,96.65794610849404,5,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
257,102.37778593813366,6,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
258,107.48508501554794,7,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
259,109.05118465470807,8,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
260,102.18101791394056,9,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
261,77.44525228418053,10,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
262,96.1609182424418,11,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
263,74.35308326868515,12,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
264,69.14764016879583,1,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
265,71.56180300556022,2,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
266,75.62304194316164,3,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
267,77.9617702590533,4,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
268,65.59673361972388,5,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
269,100.25953771347206,6,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
270,105.28205728967127,7,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
271,107.40762214960722,8,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
272,104.50853591219827,9,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
273,102.438962563199,10,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
274,70.42107301017258,11,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
275,70.99456840926835,12,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
