system:index,ET_mm,month,year,.geo
180,100.65935259219495,1,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
181,101.81046856875203,2,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
182,109.40653342512014,3,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
183,84.85552194744811,4,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
184,113.51019714989921,5,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
185,93.4216442595517,6,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
186,85.75774044158284,7,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
187,83.24207635127757,8,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
188,95.43707375172934,9,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
189,78.35521695668949,10,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
190,110.43753898680878,11,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
191,93.4053318332825,12,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
192,102.8104220534034,1,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
193,100.87644382599431,2,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
194,113.94503741797442,3,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
195,87.78131370325976,4,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
196,114.09000377373516,5,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
197,98.26096608778873,6,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
198,88.27297479023392,7,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
199,87.61140822600584,8,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
200,96.78810785436946,9,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
201,79.85749557302601,10,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
202,108.3125966933726,11,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
203,95.97858643476054,12,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
204,102.6708898810106,1,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
205,103.81590451638503,2,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
206,109.89857864879411,3,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
207,85.57010660056643,4,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
208,109.63231942390044,5,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
209,94.0196097599261,6,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
210,82.14215638251905,7,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
211,87.68546160847704,8,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
212,96.17413229584977,9,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
213,77.85341186240119,10,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
214,109.98403933919668,11,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
215,101.54841183141666,12,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
216,105.48946630006262,1,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
217,104.5704455275508,2,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
218,107.41116074330222,3,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
219,117.12081424513069,4,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
220,84.64992840486777,5,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
221,96.36548358292248,6,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
222,81.82820128275628,7,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
223,84.98495383367333,8,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
224,94.45573292878466,9,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
225,104.20685924237685,10,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
226,83.49712312774926,11,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
227,100.51128091185464,12,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
228,104.87767028316291,1,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
229,98.27195213090157,2,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
230,108.27080956356326,3,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
231,85.01861647686917,4,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
232,110.98015126078761,5,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
233,97.88760727832273,6,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
234,81.88508989720363,7,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
235,86.61862815012823,8,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
236,97.98754663603148,9,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
237,80.06817088619138,10,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
238,109.11833368471022,11,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
239,96.53126175409264,12,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
