system:index,ET_mm,month,year,.geo
239,106.1354362882638,12,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
240,121.98480021978288,1,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
241,118.95711158505004,2,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
242,119.15866456336168,3,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
243,87.69227562813423,4,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
244,112.14484547909373,5,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
245,109.21461533877098,6,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
246,114.86839652647276,7,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
247,115.47712866049892,8,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
248,118.12216638511025,9,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
249,88.61011503121394,10,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
250,123.06616094655344,11,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
251,108.99148165646235,12,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
252,120.14690265892084,1,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
253,123.4423344056488,2,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
254,118.6274470679935,3,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
255,88.22873709908986,4,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
256,114.27483640331981,5,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
257,114.67144833948672,6,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
258,120.53084071028192,7,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
259,124.43090053217077,8,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
260,125.41249247218131,9,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
261,89.1028348968578,10,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
262,123.59643533518549,11,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
263,109.70758921000478,12,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
264,127.54598331281468,1,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
265,125.37775414044583,2,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
266,120.33219656351977,3,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
267,120.55878433572646,4,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
268,87.13802584165907,5,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
269,115.49180858911491,6,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
270,118.51760313089069,7,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
271,115.13932384076877,8,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
272,103.91727732928561,9,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
273,118.61495273890684,10,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
274,92.36361755848804,11,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
275,114.4835733678836,12,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
