,Danube,Mississippi / Missouri,Colorado,California,Yangtze Basin,Mekong Basin,Nile,Ganges / Bhramaputra Basin,Congo,Amazon Basin,Murray
3/1/2009,1.236835534,-0.037860841,-0.611755607,-0.835441602,-1.756521523,-0.203757526,-0.378177039,-0.449621913,-1.502118051,4.204429626,-1.221585615
4/1/2009,-1.018003008,-0.424472757,0.080072143,-1.329780375,-1.523211997,1.63844532,0.17385637,-0.385576704,-0.155432152,3.125588293,0.209732303
5/1/2009,-1.045973964,2.252614394,-0.039976559,-0.01662963,-5.462894917,0.475837604,-1.827700877,-3.236423741,-1.790532812,-2.519635201,0.119417083
6/1/2009,0.302516193,-0.648482012,0.159761415,0.035560265,-4.268804301,-1.227365307,-1.390162636,-11.52719406,-1.27847721,2.714388744,-0.721797885
7/1/2009,-0.083053847,0.196647017,-0.118247067,-0.010181875,-4.701972878,4.816513476,-1.000908313,-7.693784133,-0.812509925,-0.125881672,-0.521291021
8/1/2009,-0.37899648,0.51049934,-0.126603901,-0.026201332,-2.354128299,-11.39199249,-1.823580991,2.221235358,-0.119094838,-0.639672393,-0.694444968
9/1/2009,-0.622793414,0.138015312,-0.17561237,-0.038908776,-2.951669558,12.56173553,-1.949389872,-4.590000318,-3.920491301,-1.567043475,-0.594869555
10/1/2009,0.138372956,5.465734033,-0.18415875,0.251559028,-2.58654624,-8.041189474,-0.747591107,2.689451694,-4.078463192,-0.65028684,-0.778766517
11/1/2009,0.090172956,-0.777328778,-0.08487152,-0.710805922,-1.09297883,-2.933062639,-0.459406177,0.078989483,-1.983537104,-1.974541602,-0.791524833
12/1/2009,1.056518034,2.070672591,-0.128087931,-1.958555781,-0.442665685,-1.077752671,-0.059019785,-0.092614307,-1.38198425,-1.304741708,0.526353877
1/1/2010,-1.132281778,-0.138634241,0.352497101,0.767309829,-0.079479848,0.328081961,-0.081203951,-0.17847634,-1.211384721,-0.959602771,-0.571958424
2/1/2010,1.159300815,0.138353317,0.136229623,-0.77301649,-0.750785657,-0.262353935,0.578033194,-0.214736579,5.244694052,-8.671920196,1.863680482
3/1/2010,-0.230664199,-1.132550687,1.862614753,-2.328742159,-0.768208325,-0.470408679,-0.128940664,0.109542015,0.678733885,-11.39761543,2.210998314
4/1/2010,-0.179825207,-2.374365516,0.355946459,2.623053919,1.922469574,-0.451094208,-0.76002533,1.78239586,-1.67673962,-3.680165415,-0.330532542
5/1/2010,2.367469005,0.872203246,0.013725781,0.028437979,1.213159084,-3.324414357,-1.186272883,1.163254966,-1.654818519,-2.606549263,-0.436982084
6/1/2010,1.873556109,1.758089853,0.024217011,0.025041245,1.306426297,-5.075665287,-0.023943473,-3.608385128,-0.260773051,-3.615540131,-0.957438351
7/1/2010,0.672834258,1.103699772,0.194760399,-0.009299473,2.116041266,-8.450949254,0.573745074,-9.395549194,-0.157826455,0.91052866,0.498861548
8/1/2010,0.59714545,0.332889658,0.069683455,-0.025862239,-1.021231112,5.107069098,1.869198312,-5.57055465,5.351424943,0.612045412,1.132916489
9/1/2010,0.668082885,1.354409975,-0.175701568,-0.017496464,0.667577401,-14.18728028,-0.194122968,6.208629442,0.19537536,-0.164399556,1.968874662
10/1/2010,-0.112678112,-1.513715239,0.206164483,1.07387484,0.355327668,17.17058869,0.786603601,-1.578943253,-1.697476501,1.131717516,2.639413531
11/1/2010,0.590471099,0.545636308,-0.077443475,0.200185195,-1.633653114,5.591679368,-0.098580549,0.25853733,2.658400629,3.843263211,2.356580967
12/1/2010,0.737158374,-1.560313921,0.44446785,3.885090328,0.829539579,-0.491261751,0.015266884,0.000147557,1.3104894,2.533286246,5.586983244
1/1/2011,0.798689487,-0.967315829,-0.048932344,-1.914927617,-0.816752736,-0.299122629,-0.071824065,-0.192136804,1.208266429,10.15179593,2.279923021
2/1/2011,-0.099299897,1.931391446,0.18953656,-1.572779216,-1.13368816,-0.173445363,-0.080743327,-0.185081152,1.522757826,11.90861092,3.583797336
3/1/2011,3.517001684,3.514879256,0.559260609,9.273820388,-0.326032937,1.332996963,0.12095461,-0.041717765,4.055334151,13.82426834,1.233417766
4/1/2011,-0.607565543,3.538148932,0.422633566,0.58325399,-4.645362419,2.072749558,-0.467238315,-0.726601341,-0.699933933,15.51884925,0.455393562
5/1/2011,-0.442812749,0.49381055,0.434220233,0.254510379,-5.774181366,3.362434284,-0.000634813,-0.478145848,-0.905256017,16.71233654,0.297575843
6/1/2011,-0.343022256,0.043412758,0.033418716,0.24905312,0.606166135,6.598795124,-0.069112589,0.994890172,-0.071156013,2.439391033,-0.406362714
7/1/2011,0.162931542,-0.425595076,-0.018934292,0.015196078,-8.105850137,3.071154055,-0.332598386,-0.014439956,0.263026802,0.115598679,-0.291819456
8/1/2011,-0.51960932,-0.783414203,-0.062960468,-0.027084978,-4.417457042,4.694944465,0.45467471,8.929233634,-0.297156324,-0.339045877,0.464981475
9/1/2011,-0.652389802,-0.363281447,-0.044153193,-0.025659127,-0.891263827,17.74254836,4.919667783,5.317378832,6.862381375,1.400192567,1.748169153
10/1/2011,-0.299688937,-1.126178355,0.01993652,-0.254154017,1.322688403,3.918088156,0.197633655,-5.111246347,6.439279919,3.18935187,-0.332984929
11/1/2011,-0.945288946,1.288624179,0.060341615,-0.068961367,0.074478452,3.433038984,0.936722567,-0.25463748,-0.635298159,4.976848188,1.528097148
12/1/2011,-0.033540174,0.530649025,0.212879933,-2.466068887,-0.697142754,-0.388664335,-0.007958662,-0.029022635,0.379212602,3.814698371,0.502388399
1/1/2012,0.298237684,-0.372803367,-0.20095262,-0.522039489,1.248640443,0.124159928,-0.080758063,0.107286808,-0.928421088,14.46944005,1.826654493
2/1/2012,0.722432147,0.003335206,-0.517479669,-2.336283483,-0.338243015,-0.163303826,-0.110124692,-0.254110513,0.256147203,14.30316125,2.640197158
3/1/2012,2.168834741,-0.834798306,-0.688579676,-0.182988418,1.668195188,0.776937126,-0.414931215,-0.457919893,-2.892008245,6.960330963,1.107049482
4/1/2012,-0.400032899,-2.513226457,-0.655971974,-0.2434976,0.501177269,1.435804787,0.495532147,0.746827862,-2.698935436,2.888214941,-0.455904415
5/1/2012,0.406740598,-2.570760473,-0.148280598,-0.257256185,4.057887554,1.805017368,-0.234320068,-3.182716142,1.104414479,-0.423624992,0.114245188
6/1/2012,-0.464393048,-1.919057177,-0.043129069,0.002165626,-5.401906718,-2.48112183,-1.041515578,0.353109318,0.262360704,-2.128863438,0.357105075
7/1/2012,-0.298785825,-0.971286328,0.022061097,0.005942416,-1.683749116,-4.778029981,-1.364636359,-3.742938415,0.709587424,3.097967625,1.601654407
8/1/2012,-0.667085517,-0.603410024,-0.042276569,-0.00126363,1.670413556,-6.615114129,2.033052911,-0.740566171,3.25692011,-0.190328712,-0.409496001
9/1/2012,-0.342915424,-0.309799749,-0.093727315,-0.036397839,4.155101434,1.859703437,0.966995778,3.360318972,0.876877225,1.472443886,-0.398004801
10/1/2012,0.192699968,-1.049429984,-0.16009263,-0.082480928,-0.373925624,-7.205648225,0.812124164,-0.944714069,6.057763462,0.532830072,-0.855331455
11/1/2012,-0.120964637,-1.168788243,-0.065742962,2.479064599,2.132132237,-0.704608645,0.546639731,-0.129936598,4.892558191,-0.630284724,-1.014389282
12/1/2012,0.367995218,-0.755788367,-0.042550825,0.482992149,2.046147388,-0.920311332,1.040099729,-0.056363278,9.813656075,0.631275329,-1.009272893
