basin,year,month,ET_mm
California,2005,8,28.757617742972364
California,2005,9,26.489941269674546
California,2005,10,17.900596935007613
California,2005,11,17.902817048023245
California,2005,12,17.082793722935545
California,2006,1,20.30097416725493
California,2006,2,24.101497538888747
California,2006,3,37.448205387248024
California,2006,4,36.84768194348336
California,2006,5,50.071004164933846
California,2006,6,44.138277593812205
California,2006,7,31.23878431490602
California,2006,8,29.40817515370333
California,2006,9,24.65337269762784
California,2006,10,15.90019114588336
California,2006,11,17.114536469050044
California,2006,12,15.63903726758525
California,2007,1,17.930107839016653
California,2007,2,24.54776959471331
California,2007,3,31.740105798061027
California,2007,4,28.28305045761627
California,2007,5,39.5288773888457
California,2007,6,37.61817214812039
California,2007,7,31.03459346652224
California,2007,8,27.78829685348361
California,2007,9,25.814332420717907
California,2007,10,15.728719006527236
California,2007,11,15.757451986746888
California,2007,12,16.92591807365312
California,2008,1,20.886670911740524
California,2008,2,27.798708903653313
California,2008,3,32.82792458610575
California,2008,4,35.99051408273049
California,2008,5,29.41564401327092
California,2008,6,36.303923483757345
California,2008,7,31.771799104783685
California,2008,8,24.729225430473782
California,2008,9,21.040773873995633
California,2008,10,18.35194040575282
California,2008,11,13.722201365756469
California,2008,12,17.639784871678824
California,2009,1,19.51240236771503
California,2009,2,27.730628833951496
California,2009,3,33.732829765473014
California,2009,4,28.02804521548373
California,2009,5,40.989242316508616
California,2009,6,43.41922260307266
California,2009,7,28.930528101690065
California,2009,8,25.280596484056115
California,2009,9,20.12107251545348
California,2009,10,17.363582161450108
California,2009,11,16.444581931836
California,2009,12,17.504146793858816
California,2010,1,21.920478096994188
California,2010,2,30.0868543760996
California,2010,3,34.72609009304476
California,2010,4,32.470223054833056
California,2010,5,44.4011347088329
California,2010,6,47.65689497807303
California,2010,7,38.98303726512218
California,2010,8,30.855242922824107
California,2010,9,26.19554413525781
California,2010,10,17.794683756470477
California,2010,11,18.878937858158004
California,2010,12,18.7520618227482
California,2011,1,22.603617057528226
California,2011,2,26.169582882209237
California,2011,3,38.56855644216524
California,2011,4,33.48179745096205
California,2011,5,45.49456099082891
California,2011,6,48.17415110007599
California,2011,7,44.726209435092926
California,2011,8,32.698160762580265
California,2011,9,25.53343599385267
California,2011,10,17.29849854179925
California,2011,11,18.671997599818244
California,2011,12,14.543371233346404
California,2012,1,16.778683285688256
California,2012,2,23.18901358143449
California,2012,3,30.865665950601812
California,2012,4,40.762015827229625
California,2012,5,31.621806820040927
California,2012,6,41.0510551217769
California,2012,7,34.78605511684357
California,2012,8,23.80676666476279
California,2012,9,21.554312769839267
California,2012,10,21.77515584215781
California,2012,11,14.429018087453544
California,2012,12,18.967594992123686
California,2013,1,20.376905409221024
California,2013,2,24.743680154710873
California,2013,3,32.671301432325286
California,2013,4,27.898271856044737
California,2013,5,39.84314046430554
California,2013,6,37.657129350717035
California,2013,7,31.85551828246848
California,2013,8,31.06670387545097
California,2013,9,24.471404579184753
California,2013,10,14.570818978158725
California,2013,11,17.079362065412777
California,2013,12,13.891907711301904
California,2014,1,14.250216354097509
California,2014,2,23.658320270390316
California,2014,3,29.63873485949687
California,2014,4,27.967523407503915
California,2014,5,38.199869078300104
California,2014,6,34.99496311738533
California,2014,7,26.92278799884802
California,2014,8,29.15247631019924
California,2014,9,22.506985107187788
California,2014,10,14.514771533884332
California,2014,11,17.85210716074043
California,2014,12,19.564682626790496
California,2015,1,22.712152635170355
California,2015,2,27.473723218137003
California,2015,3,32.05622749809756
California,2015,4,27.614952159915305
California,2015,5,42.08421396574641
California,2015,6,34.24788766517776
California,2015,7,35.29298044218055
California,2015,8,26.527730304097737
California,2015,9,21.454009696340258
California,2015,10,14.865950264790474
California,2015,11,17.547125495747615
California,2015,12,16.342331010822946
California,2016,1,22.60488152029443
California,2016,2,26.118324538903707
California,2016,3,37.788305623999754
