basin,year,ET_annual_anomaly_mm
Ganges / Brahmaputra Basin,2016,-11.515543835684682
Ganges / Brahmaputra Basin,2017,28.800354169811158
Ganges / Brahmaputra Basin,2018,12.993810139870313
Ganges / Brahmaputra Basin,2019,49.68681051983547
Ganges / Brahmaputra Basin,2020,89.33481114648495
Ganges / Brahmaputra Basin,2021,83.95254513329624
Ganges / Brahmaputra Basin,2022,40.166132649810564
Ganges / Brahmaputra Basin,2023,45.065167801533065
Ganges / Brahmaputra Basin,2024,35.85438358891523
Mekong Basin,2002,-16.778926744352667
Mekong Basin,2003,17.334875416358138
Mekong Basin,2004,-63.110388990043944
Mekong Basin,2005,-31.211528163460997
Mekong Basin,2006,19.490790162102698
Mekong Basin,2007,-28.90670832017699
Mekong Basin,2008,-18.315050828773153
Mekong Basin,2009,5.5918162601621475
Mekong Basin,2010,-28.03956218783882
Mekong Basin,2011,-6.99914581612375
Mekong Basin,2012,11.777472692826024
Mekong Basin,2013,0.8321521214718786
Mekong Basin,2014,2.0770902609320956
Mekong Basin,2015,3.8835713486526586
Mekong Basin,2016,3.168619259895806
Mekong Basin,2017,46.8515724281836
Mekong Basin,2018,36.00749154596541
Mekong Basin,2019,17.410338027075824
Mekong Basin,2020,-15.503166641364615
Mekong Basin,2021,10.628574039873257
Mekong Basin,2022,45.53017130520911
Mekong Basin,2023,5.120183158086121
Mekong Basin,2024,-16.840240334659484
Mississippi / Missouri,2002,-42.388220393226135
Mississippi / Missouri,2003,-31.450884923804672
Mississippi / Missouri,2004,-7.33036301256703
Mississippi / Missouri,2005,-12.59426294783096
Mississippi / Missouri,2006,-44.73105753571515
Mississippi / Missouri,2007,-6.170909054997146
Mississippi / Missouri,2008,-10.018367050505024
Mississippi / Missouri,2009,-1.0106549968944663
Mississippi / Missouri,2010,9.036360040118435
Mississippi / Missouri,2011,-20.508984905287477
Mississippi / Missouri,2012,-57.28073867572026
Mississippi / Missouri,2013,-0.8827739832790229
Mississippi / Missouri,2014,4.358506026837592
Mississippi / Missouri,2015,23.809347405525806
Mississippi / Missouri,2016,29.36013672655817
Mississippi / Missouri,2017,15.395651322245541
Mississippi / Missouri,2018,21.649265264115733
Mississippi / Missouri,2019,50.45577084801934
Mississippi / Missouri,2020,32.0208868126393
Mississippi / Missouri,2021,16.873291375199887
Mississippi / Missouri,2022,-0.718068978066718
Mississippi / Missouri,2023,20.86124959219727
Mississippi / Missouri,2024,11.26482104443723
Murray Darling,2002,-102.01333737542518
Murray Darling,2003,-35.81648021610418
Murray Darling,2004,-26.288311070330362
Murray Darling,2005,-16.16621027325681
Murray Darling,2006,-83.2227384661131
Murray Darling,2007,-52.262080755382385
Murray Darling,2008,-8.545745754294417
Murray Darling,2009,-50.45825236006706
Murray Darling,2010,130.7814258896692
Murray Darling,2011,82.31672159371587
Murray Darling,2012,31.18222472376761
Murray Darling,2013,-29.24519643335865
Murray Darling,2014,-25.157404065363416
Murray Darling,2015,5.128033556466548
Murray Darling,2016,59.07623760565835
Murray Darling,2017,-16.755190707801866
Murray Darling,2018,-75.08801868894489
Murray Darling,2019,-97.25587243607401
Murray Darling,2020,31.536548159653062
Murray Darling,2021,78.63148573112373
Murray Darling,2022,131.1054962097969
Murray Darling,2023,-5.328608958261288
Murray Darling,2024,73.8452740909265
Nile,2002,-101.82491431250006
Nile,2003,-34.05986050118949
Nile,2004,-72.78613946745475
Nile,2005,-58.72745670447497
Nile,2006,-43.8625480822147
Nile,2007,-14.255368675011923
Nile,2008,-49.90265404259225
Nile,2009,-77.37155205595799
Nile,2010,5.235952488314709
Nile,2011,2.2162056596384936
Nile,2012,25.476529892996105
Nile,2013,18.985597491388628
Nile,2014,55.43159252283227
Nile,2015,-15.45725750205202
Nile,2016,6.172223227367187
Nile,2017,6.58532995094205
Nile,2018,-3.58123943733332
Nile,2019,56.07725532781928
Nile,2020,92.49885908603588
Nile,2021,61.348481876690514
Nile,2022,54.2480160602591
Nile,2023,39.57747695249341
Nile,2024,47.975470244003674
Yangtze Basin,2002,-45.56034944191723
Yangtze Basin,2003,-15.656579981178197
Yangtze Basin,2004,-70.6865602534521
Yangtze Basin,2005,-11.273766333538408
Yangtze Basin,2006,-38.67005735826267
Yangtze Basin,2007,-39.14175410005193
Yangtze Basin,2008,-25.390765972309747
Yangtze Basin,2009,-8.310137393053477
Yangtze Basin,2010,-18.772962153306512
Yangtze Basin,2011,-20.956740053177903
Yangtze Basin,2012,-17.047634513407093
Yangtze Basin,2013,5.388031690263588
Yangtze Basin,2014,8.725296707649754
Yangtze Basin,2015,18.277475898803928
Yangtze Basin,2016,34.02330051494457
Yangtze Basin,2017,43.177120578295046
Yangtze Basin,2018,33.502374144673496
Yangtze Basin,2019,19.8636327720836
Yangtze Basin,2020,33.117128202379945
Yangtze Basin,2021,44.72263312673364
Yangtze Basin,2022,18.048631401707848
Yangtze Basin,2023,19.40972319305346
Yangtze Basin,2024,33.21195932306586
