basin,year,month,ET_anomaly_mm
Mississippi / Missouri,2002,5,-4.338620949739067
Mississippi / Missouri,2002,6,-8.504446732682581
Mississippi / Missouri,2002,7,-12.358182265473587
Mississippi / Missouri,2002,8,-9.651088439560404
Mississippi / Missouri,2002,9,-5.27436704691813
Mississippi / Missouri,2002,10,-1.945739775683549
Mississippi / Missouri,2002,11,1.7868766456627299
Mississippi / Missouri,2002,12,1.024835278007533
Mississippi / Missouri,2003,1,0.9185889720401619
Mississippi / Missouri,2003,2,0.2859882766070889
Mississippi / Missouri,2003,3,-0.0678769780813866
Mississippi / Missouri,2003,4,-5.639638622459302
Mississippi / Missouri,2003,5,2.1473215222833346
Mississippi / Missouri,2003,6,-1.7805205344355102
Mississippi / Missouri,2003,7,-9.059093198436571
Mississippi / Missouri,2003,8,-11.312696069289025
Mississippi / Missouri,2003,9,-5.160688995244968
Mississippi / Missouri,2003,10,-3.9242155281369797
Mississippi / Missouri,2003,11,1.9718077022215965
Mississippi / Missouri,2003,12,0.17013852912688776
Mississippi / Missouri,2004,1,0.01072749696654185
Mississippi / Missouri,2004,2,-0.4917062064590354
Mississippi / Missouri,2004,3,-3.003484832666029
Mississippi / Missouri,2004,4,6.590024252442348
Mississippi / Missouri,2004,5,-9.22511372627421
Mississippi / Missouri,2004,6,-5.5889337106214185
Mississippi / Missouri,2004,7,0.9324007785526334
Mississippi / Missouri,2004,8,-0.4137097581803175
Mississippi / Missouri,2004,9,-1.0295805991624576
Mississippi / Missouri,2004,10,6.224122471852294
Mississippi / Missouri,2004,11,-3.0655305043803978
Mississippi / Missouri,2004,12,1.730421325363018
Mississippi / Missouri,2005,1,0.22046213246031243
Mississippi / Missouri,2005,2,2.4860920925201455
Mississippi / Missouri,2005,3,-0.3830643278946795
Mississippi / Missouri,2005,4,-3.7441108822274884
Mississippi / Missouri,2005,5,1.5776644497090047
Mississippi / Missouri,2005,6,1.4378425736693288
Mississippi / Missouri,2005,7,-4.314923449138135
Mississippi / Missouri,2005,8,-5.735653392813958
Mississippi / Missouri,2005,9,-1.390894406483028
Mississippi / Missouri,2005,10,-1.259895344486008
Mississippi / Missouri,2005,11,0.21521897842456283
Mississippi / Missouri,2005,12,-1.7030013715710162
Mississippi / Missouri,2006,1,0.548082419519119
Mississippi / Missouri,2006,2,-0.49470839038102454
Mississippi / Missouri,2006,3,-1.9796092934083305
Mississippi / Missouri,2006,4,-5.786938198584281
Mississippi / Missouri,2006,5,-0.9240883336179664
Mississippi / Missouri,2006,6,-11.446334878798538
Mississippi / Missouri,2006,7,-13.942764742415505
Mississippi / Missouri,2006,8,-10.252433306682533
Mississippi / Missouri,2006,9,-1.831772424238089
Mississippi / Missouri,2006,10,-1.6265274291036427
Mississippi / Missouri,2006,11,1.9725364620376062
Mississippi / Missouri,2006,12,1.0335005799580301
Mississippi / Missouri,2007,1,0.7528826825980737
Mississippi / Missouri,2007,2,-1.1298819592656812
Mississippi / Missouri,2007,3,3.646952924964488
Mississippi / Missouri,2007,4,-4.4895275388133165
Mississippi / Missouri,2007,5,7.014861648411397
Mississippi / Missouri,2007,6,1.5676126166503508
Mississippi / Missouri,2007,7,-0.10584817224747667
Mississippi / Missouri,2007,8,-9.62230092265878
Mississippi / Missouri,2007,9,-2.0853119851106
Mississippi / Missouri,2007,10,-1.2362944806214529
Mississippi / Missouri,2007,11,0.48805117502244855
Mississippi / Missouri,2007,12,-0.9721050439265966
Mississippi / Missouri,2008,1,-0.3667316436281638
Mississippi / Missouri,2008,2,0.053506577570594516
Mississippi / Missouri,2008,3,0.11427292348458451
Mississippi / Missouri,2008,4,8.106783799108463
Mississippi / Missouri,2008,5,-12.62120566807237
Mississippi / Missouri,2008,6,-2.7424214990531937
Mississippi / Missouri,2008,7,-4.976522356029761
Mississippi / Missouri,2008,8,0.7983329524588498
Mississippi / Missouri,2008,9,1.6853106188744746
Mississippi / Missouri,2008,10,4.847552180170478
Mississippi / Missouri,2008,11,-4.570709378715531
Mississippi / Missouri,2008,12,-0.34653555667344804
Mississippi / Missouri,2009,1,-1.1166014427970126
Mississippi / Missouri,2009,2,-0.1125195087345432
Mississippi / Missouri,2009,3,-1.3436420144499266
Mississippi / Missouri,2009,4,-4.8090008883701
Mississippi / Missouri,2009,5,2.354809835574308
Mississippi / Missouri,2009,6,0.16351030992123583
Mississippi / Missouri,2009,7,-2.508205963711731
Mississippi / Missouri,2009,8,4.305803176625602
Mississippi / Missouri,2009,9,0.6083798636830124
Mississippi / Missouri,2009,10,0.6100747840691056
Mississippi / Missouri,2009,11,3.021627664545033
Mississippi / Missouri,2009,12,-2.1848908132494493
Mississippi / Missouri,2010,1,-1.7665033776917554
Mississippi / Missouri,2010,2,-2.023933566342947
Mississippi / Missouri,2010,3,1.0588800112181787
Mississippi / Missouri,2010,4,-3.0461696132197176
Mississippi / Missouri,2010,5,9.151022079211245
Mississippi / Missouri,2010,6,8.886586582175354
Mississippi / Missouri,2010,7,6.275565742993891
Mississippi / Missouri,2010,8,0.5101608553627983
Mississippi / Missouri,2010,9,-3.5102962816200076
Mississippi / Missouri,2010,10,-4.236769158078104
Mississippi / Missouri,2010,11,-0.12361194442609857
Mississippi / Missouri,2010,12,-2.1385712894644016
Mississippi / Missouri,2011,1,-2.2580655040176048
Mississippi / Missouri,2011,2,-1.5607820997798179
Mississippi / Missouri,2011,3,-0.7857064019497457
Mississippi / Missouri,2011,4,-0.7303563312555852
Mississippi / Missouri,2011,5,3.2267643813338367
Mississippi / Missouri,2011,6,-4.009400712879767
Mississippi / Missouri,2011,7,-2.281083791063679
Mississippi / Missouri,2011,8,-5.305661895191662
Mississippi / Missouri,2011,9,-6.18292138209582
Mississippi / Missouri,2011,10,-3.5237804811306503
Mississippi / Missouri,2011,11,1.6133392863629155
Mississippi / Missouri,2011,12,1.2886700263801032
Mississippi / Missouri,2012,1,1.8460640704224645
Mississippi / Missouri,2012,2,1.7549666301099691
Mississippi / Missouri,2012,3,1.3476804520102732
Mississippi / Missouri,2012,4,14.305649254382082
Mississippi / Missouri,2012,5,-13.495102859323453
Mississippi / Missouri,2012,6,-12.018689807435194
Mississippi / Missouri,2012,7,-22.39140600995575
Mississippi / Missouri,2012,8,-17.580734382465316
Mississippi / Missouri,2012,9,-9.558497871768182
Mississippi / Missouri,2012,10,3.3148605171300005
Mississippi / Missouri,2012,11,-5.05474664737682
Mississippi / Missouri,2012,12,0.2492179785496731
Mississippi / Missouri,2013,1,0.7048173524724604
Mississippi / Missouri,2013,2,0.016533248852539373
Mississippi / Missouri,2013,3,-2.978604062220562
Mississippi / Missouri,2013,4,-1.7891126712132959
Mississippi / Missouri,2013,5,0.7864887546927761
Mississippi / Missouri,2013,6,-1.213507674560006
Mississippi / Missouri,2013,7,-1.9194867958437243
Mississippi / Missouri,2013,8,4.444087925197863
Mississippi / Missouri,2013,9,1.2011620394512406
Mississippi / Missouri,2013,10,-0.5133261113520255
Mississippi / Missouri,2013,11,1.9448321021890536
Mississippi / Missouri,2013,12,-1.5666580909453423
Mississippi / Missouri,2014,1,-0.5175024276544917
Mississippi / Missouri,2014,2,-1.8195605751398176
Mississippi / Missouri,2014,3,-0.17039890330339347
Mississippi / Missouri,2014,4,-6.494664303487113
Mississippi / Missouri,2014,5,0.3973639590991169
Mississippi / Missouri,2014,6,1.8929561700153101
Mississippi / Missouri,2014,7,4.508000400597737
Mississippi / Missouri,2014,8,4.657783554135847
Mississippi / Missouri,2014,9,3.5845160834579417
Mississippi / Missouri,2014,10,-1.3219546392945425
Mississippi / Missouri,2014,11,-0.04587012574995697
Mississippi / Missouri,2014,12,-0.3121631658390456
Mississippi / Missouri,2015,1,0.5165183074920705
Mississippi / Missouri,2015,2,0.3099364926204693
Mississippi / Missouri,2015,3,-1.3484402437210221
Mississippi / Missouri,2015,4,-5.008948802729485
Mississippi / Missouri,2015,5,7.1567718562285165
Mississippi / Missouri,2015,6,7.778715767769
Mississippi / Missouri,2015,7,10.121382124564974
Mississippi / Missouri,2015,8,4.301713602799637
Mississippi / Missouri,2015,9,0.08133393592541438
Mississippi / Missouri,2015,10,-3.052023316532349
Mississippi / Missouri,2015,11,2.2519321569308843
Mississippi / Missouri,2015,12,0.7004555241776949
Mississippi / Missouri,2016,1,0.03658310005291554
Mississippi / Missouri,2016,2,1.329108629774911
Mississippi / Missouri,2016,3,0.35651960388111803
Mississippi / Missouri,2016,4,12.618357837017541
Mississippi / Missouri,2016,5,-8.748181121196254
Mississippi / Missouri,2016,6,5.058918755872938
Mississippi / Missouri,2016,7,4.11694477448674
Mississippi / Missouri,2016,8,6.654126380564179
Mississippi / Missouri,2016,9,6.923357648882842
Mississippi / Missouri,2016,10,6.36056679056329
Mississippi / Missouri,2016,11,-5.218825246242954
Mississippi / Missouri,2016,12,-0.12734042709909588
Mississippi / Missouri,2017,1,-0.1949312607021767
Mississippi / Missouri,2017,2,1.4973337885324938
Mississippi / Missouri,2017,3,1.662903858990468
Mississippi / Missouri,2017,4,-0.9769545030157119
Mississippi / Missouri,2017,5,5.481517138392519
Mississippi / Missouri,2017,6,-1.672442646288232
Mississippi / Missouri,2017,7,0.5599524644320013
Mississippi / Missouri,2017,8,4.662585064151898
Mississippi / Missouri,2017,9,3.759652909026542
Mississippi / Missouri,2017,10,-1.8800210857632678
Mississippi / Missouri,2017,11,2.66014073523532
Mississippi / Missouri,2017,12,-0.16408514074631242
Mississippi / Missouri,2018,1,-0.34376549766792763
Mississippi / Missouri,2018,2,-0.166258541220472
Mississippi / Missouri,2018,3,-0.786307974209592
Mississippi / Missouri,2018,4,-7.16572222283682
Mississippi / Missouri,2018,5,6.114429904377474
Mississippi / Missouri,2018,6,5.76783621796632
Mississippi / Missouri,2018,7,6.39261846931241
