basin,model,feature,value,abs_normalized
Colorado,Logistic Regression,rolling_skew_12,0.16183068510065743,0.21614509664633916
Colorado,Logistic Regression,month_sin,-0.3180958588155012,0.42485675756554925
Colorado,Logistic Regression,month_cos,-0.3596317720431201,0.48033315855398684
Colorado,Random Forest,anomaly_lag1,0.15336228690945083,1.0
Colorado,Random Forest,anomaly_lag2,0.06231462892156297,0.4063230288053489
Colorado,Random Forest,anomaly_lag3,0.04522282239660711,0.29487576970802387
Colorado,Random Forest,raw_lag1,0.07426406925739518,0.48423944865430085
Colorado,Random Forest,bar_state_lag1,0.09747304416079519,0.6355737523550745
Colorado,Random Forest,rolling_autocorr_3,0.004732545588725945,0.030858600794862728
Colorado,Random Forest,rolling_variance_3,0.05387102867855809,0.3512664669011162
Colorado,Random Forest,rolling_skew_3,0.05496751384185175,0.3584161070466172
Colorado,Random Forest,rolling_autocorr_6,0.045253486200698856,0.2950757132841773
Colorado,Random Forest,rolling_variance_6,0.09427283671888097,0.6147067745184457
Colorado,Random Forest,rolling_skew_6,0.09318770723691532,0.6076311791825053
Colorado,Random Forest,rolling_autocorr_12,0.03590974247041457,0.2341497586796983
Colorado,Random Forest,rolling_variance_12,0.05845972467160112,0.38118709527406364
Colorado,Random Forest,rolling_skew_12,0.07535990939757116,0.4913848829214815
Colorado,Random Forest,month_sin,0.026253816955761504,0.17118822029083627
Colorado,Random Forest,month_cos,0.025094836593209376,0.1636310797062255
Colorado,Gradient Boosting,anomaly_lag1,0.25410151041039675,1.0
Colorado,Gradient Boosting,anomaly_lag2,0.07458133287039065,0.29350999429297014
Colorado,Gradient Boosting,anomaly_lag3,0.049200638158096936,0.19362591776268268
Colorado,Gradient Boosting,raw_lag1,0.0976726033721047,0.38438419045347144
Colorado,Gradient Boosting,bar_state_lag1,0.0018919672455418484,0.007445714283579627
Colorado,Gradient Boosting,rolling_autocorr_3,0.0049348975155394485,0.019420968838670602
Colorado,Gradient Boosting,rolling_variance_3,0.0499577126810042,0.1966053354044138
Colorado,Gradient Boosting,rolling_skew_3,0.03901177824846344,0.15352832096690774
Colorado,Gradient Boosting,rolling_autocorr_6,0.038221056734732924,0.1504164877768829
Colorado,Gradient Boosting,rolling_variance_6,0.10391339742107071,0.4089444303311745
Colorado,Gradient Boosting,rolling_skew_6,0.10954620669040405,0.43111198557410024
Colorado,Gradient Boosting,rolling_autocorr_12,0.04442506031708705,0.1748319411613752
Colorado,Gradient Boosting,rolling_variance_12,0.03442703584730765,0.13548536485164883
Colorado,Gradient Boosting,rolling_skew_12,0.05114051130655992,0.2012601626175437
Colorado,Gradient Boosting,month_sin,0.012971403202533269,0.05104811530471932
Colorado,Gradient Boosting,month_cos,0.034002887978766404,0.13381615844726263
California,Logistic Regression,anomaly_lag1,-0.28818067228248395,0.6246677934401229
California,Logistic Regression,anomaly_lag2,-0.15525374069449324,0.3365319778555073
California,Logistic Regression,anomaly_lag3,-0.21629644449849117,0.4688497033603071
California,Logistic Regression,raw_lag1,-0.1038585774327409,0.2251265078983013
California,Logistic Regression,bar_state_lag1,0.46133428889528194,1.0
California,Logistic Regression,rolling_autocorr_3,-0.12991322216672035,0.2816032219885769
California,Logistic Regression,rolling_variance_3,0.3474133591801786,0.7530620800203252
California,Logistic Regression,rolling_skew_3,-0.03719143399022683,0.08061710322743622
