basin,model,feature,value,abs_normalized
California,Gradient Boosting,rolling_skew_3,0.07004274561753338,0.21527095862703857
California,Gradient Boosting,rolling_autocorr_6,0.035461002403412344,0.1089866468533665
California,Gradient Boosting,rolling_variance_6,0.0750303251053238,0.23059989823526017
California,Gradient Boosting,rolling_skew_6,0.023437793926576838,0.0720342459764195
California,Gradient Boosting,rolling_autocorr_12,0.0449317889480207,0.1380943764324243
California,Gradient Boosting,rolling_variance_12,0.060238332396503676,0.18513785327460733
California,Gradient Boosting,rolling_skew_12,0.04855531226904252,0.14923099496510125
California,Gradient Boosting,month_sin,0.0,0.0
California,Gradient Boosting,month_cos,0.05732676685769534,0.17618938189304253
Colorado,Logistic Regression,anomaly_lag1,-0.4748142629234275,1.0
Colorado,Logistic Regression,anomaly_lag2,-0.37190437004298393,0.7832628441975854
Colorado,Logistic Regression,anomaly_lag3,0.15794925489825654,0.33265482364780763
Colorado,Logistic Regression,raw_lag1,0.24440297719534723,0.5147338575942519
Colorado,Logistic Regression,bar_state_lag1,0.19925881315741345,0.4196563345224269
Colorado,Logistic Regression,rolling_autocorr_3,-0.027837745527199868,0.0586287053716607
Colorado,Logistic Regression,rolling_variance_3,-0.26387207440300137,0.555737464115638
Colorado,Logistic Regression,rolling_skew_3,-0.25076280889809455,0.528128214502551
Colorado,Logistic Regression,rolling_autocorr_6,-0.14674293349885792,0.3090533392896896
Colorado,Logistic Regression,rolling_variance_6,0.2709758686613644,0.5706986706611723
Colorado,Logistic Regression,rolling_skew_6,-0.2097003226622293,0.44164705872798793
Colorado,Logistic Regression,rolling_autocorr_12,0.33523605531556727,0.706036194556418
Colorado,Logistic Regression,rolling_variance_12,-0.22645862175032128,0.4769414894068628
Colorado,Logistic Regression,rolling_skew_12,-0.22052209676555568,0.4644386531436586
Colorado,Logistic Regression,month_sin,-0.25245056728201565,0.5316827799731196
Colorado,Logistic Regression,month_cos,0.06663512024675074,0.1403393399273199
Colorado,Random Forest,anomaly_lag1,0.13335749778458925,1.0
Colorado,Random Forest,anomaly_lag2,0.09237771222197794,0.6927072999764478
Colorado,Random Forest,anomaly_lag3,0.05880498777320844,0.4409574920803885
Colorado,Random Forest,raw_lag1,0.10402489825098692,0.7800453666206086
Colorado,Random Forest,bar_state_lag1,0.10131307011463533,0.7597103409834902
Colorado,Random Forest,rolling_autocorr_3,0.002646689127120964,0.01984657159206848
Colorado,Random Forest,rolling_variance_3,0.07807466149285361,0.5854538574124019
Colorado,Random Forest,rolling_skew_3,0.057204664087586135,0.4289572392846493
Colorado,Random Forest,rolling_autocorr_6,0.041625685366648554,0.31213607077335853
Colorado,Random Forest,rolling_variance_6,0.037878106251593144,0.2840343203857738
Colorado,Random Forest,rolling_skew_6,0.04781954433492967,0.3585815955558195
Colorado,Random Forest,rolling_autocorr_12,0.051318243063292676,0.38481708127267367
Colorado,Random Forest,rolling_variance_12,0.05019474016765919,0.37639233640044856
Colorado,Random Forest,rolling_skew_12,0.09067455130268588,0.6799359076844063
Colorado,Random Forest,month_sin,0.036085821603614565,0.2705946212480948
Colorado,Random Forest,month_cos,0.016599127056617875,0.12447089464313618
Colorado,Gradient Boosting,anomaly_lag1,0.20532191948267478,1.0
Colorado,Gradient Boosting,anomaly_lag2,0.12093169391805461,0.588985794710822
Colorado,Gradient Boosting,anomaly_lag3,0.0849570044469017,0.4137746454979466
Colorado,Gradient Boosting,raw_lag1,0.06588886081148465,0.32090514728041203
Colorado,Gradient Boosting,bar_state_lag1,0.05641933538540019,0.2747847649561882
Colorado,Gradient Boosting,rolling_autocorr_3,0.0,0.0
Colorado,Gradient Boosting,rolling_variance_3,0.11118980525667313,0.5415388943217795
Colorado,Gradient Boosting,rolling_skew_3,0.035660109050594385,0.17367901654359613
Colorado,Gradient Boosting,rolling_autocorr_6,0.03785085418058367,0.18434882294083343
Colorado,Gradient Boosting,rolling_variance_6,0.030604721540962613,0.14905725417955223
Colorado,Gradient Boosting,rolling_skew_6,0.04246388168218614,0.2068161148560141
Colorado,Gradient Boosting,rolling_autocorr_12,0.04101488658124264,0.19975892824586372
Colorado,Gradient Boosting,rolling_variance_12,0.06160249175068091,0.30002881283154464
Colorado,Gradient Boosting,rolling_skew_12,0.07976355844728963,0.3884804829813611
Colorado,Gradient Boosting,month_sin,0.02092157270588303,0.10189644027581968
Colorado,Gradient Boosting,month_cos,0.005409304759388053,0.026345481149880317
Congo,Logistic Regression,anomaly_lag1,0.036008394338888895,0.09757429297013337
Congo,Logistic Regression,anomaly_lag2,-0.1311017611097543,0.3552549865742869
Congo,Logistic Regression,anomaly_lag3,-0.05826680098606469,0.15788934814309644
Congo,Logistic Regression,raw_lag1,0.04758880999261003,0.12895450001512684
Congo,Logistic Regression,bar_state_lag1,-0.04920820302030169,0.13334267484543652
Congo,Logistic Regression,rolling_autocorr_3,-0.043525827474335976,0.11794477148239839
Congo,Logistic Regression,rolling_variance_3,-0.015750711409055044,0.04268072925027242
Congo,Logistic Regression,rolling_skew_3,-0.3456092272342365,0.9365198479543023
Congo,Logistic Regression,rolling_autocorr_6,0.0669327537829554,0.18137204523620024
Congo,Logistic Regression,rolling_variance_6,-0.11614738461120411,0.31473213793176014
Congo,Logistic Regression,rolling_skew_6,0.36903566751860295,1.0
Congo,Logistic Regression,rolling_autocorr_12,-0.033436244688826625,0.09060437142472445
Congo,Logistic Regression,rolling_variance_12,0.034685973871937927,0.09399084404270874
Congo,Logistic Regression,rolling_skew_12,-0.2743488253512575,0.743420892609053
Congo,Logistic Regression,month_sin,-0.03782830564499971,0.10250582524815925
Congo,Logistic Regression,month_cos,0.06990262275088437,0.1894196927384007
Congo,Random Forest,anomaly_lag1,0.14847276329977604,1.0
Congo,Random Forest,anomaly_lag2,0.05772189402233877,0.38877092834727245
Congo,Random Forest,anomaly_lag3,0.08764323840126079,0.5902984254715019
Congo,Random Forest,raw_lag1,0.07965628258020646,0.536504344701764
Congo,Random Forest,bar_state_lag1,0.08487195927372769,0.571633189734374
Congo,Random Forest,rolling_autocorr_3,0.0027028851120408036,0.018204585487396802
Congo,Random Forest,rolling_variance_3,0.031155363001997647,0.20983891125601917
Congo,Random Forest,rolling_skew_3,0.11076874532840504,0.7460543123640517
Congo,Random Forest,rolling_autocorr_6,0.053025227551349606,0.3571377427945371
Congo,Random Forest,rolling_variance_6,0.042819037290804364,0.2883965808890482
Congo,Random Forest,rolling_skew_6,0.073863155624742,0.49748623237790446
Congo,Random Forest,rolling_autocorr_12,0.04955812576486925,0.33378597301922786
Congo,Random Forest,rolling_variance_12,0.06451886871133414,0.43455019814689105
Congo,Random Forest,rolling_skew_12,0.0873441305887607,0.5882838619525609
Congo,Random Forest,month_sin,0.012326828432281453,0.08302417331179318
Congo,Random Forest,month_cos,0.013551495016105234,0.09127259919547598
Congo,Gradient Boosting,anomaly_lag1,0.182422536151397,1.0
Congo,Gradient Boosting,anomaly_lag2,0.04088172599465293,0.224104580810806
Congo,Gradient Boosting,anomaly_lag3,0.11782406232296737,0.6458854525801694
Congo,Gradient Boosting,raw_lag1,0.05400560559628737,0.29604678640947507
Congo,Gradient Boosting,bar_state_lag1,0.0763916444395263,0.41876210062186053
Congo,Gradient Boosting,rolling_autocorr_3,0.0,0.0
Congo,Gradient Boosting,rolling_variance_3,0.033613949041099274,0.18426423483775173
Congo,Gradient Boosting,rolling_skew_3,0.11813840092806974,0.6476085872966032
Congo,Gradient Boosting,rolling_autocorr_6,0.06786995953068774,0.37204810854269
Congo,Gradient Boosting,rolling_variance_6,0.010075110839880861,0.05522952948926922
Congo,Gradient Boosting,rolling_skew_6,0.06972014439724489,0.3821904128083298
Congo,Gradient Boosting,rolling_autocorr_12,0.045991994000663936,0.2521179398717165
Congo,Gradient Boosting,rolling_variance_12,0.08597309684037475,0.4712855037221034
Congo,Gradient Boosting,rolling_skew_12,0.09207132895969766,0.5047146635615535
Congo,Gradient Boosting,month_sin,0.0,0.0
Congo,Gradient Boosting,month_cos,0.005020440957450314,0.027520947046168268
Danube,Logistic Regression,anomaly_lag1,0.334526838593436,0.8326949703154591
Danube,Logistic Regression,anomaly_lag2,-0.2940510470618773,0.7319437475747695
Danube,Logistic Regression,anomaly_lag3,-0.13530345593768706,0.336793626781436
Danube,Logistic Regression,raw_lag1,-0.4017399534270076,1.0
Danube,Logistic Regression,bar_state_lag1,0.01948387463699848,0.04849872279516386
Danube,Logistic Regression,rolling_autocorr_3,0.20191737432959145,0.502607153227238
Danube,Logistic Regression,rolling_variance_3,0.16556000172099714,0.41210738515973333
Danube,Logistic Regression,rolling_skew_3,-0.13840208481672422,0.3445066482337575
Danube,Logistic Regression,rolling_autocorr_6,0.330155918962094,0.8218149978505443
Danube,Logistic Regression,rolling_variance_6,-0.35600969466251775,0.8861695024993361
Danube,Logistic Regression,rolling_skew_6,-0.20401220363464131,0.5078215444949725
